alloy_name,elastic_modulus,source,C11,C12,C44
Ta3Ti,101.16999999999999,Refractory HEA Elastic Constants (GitHub),236.32,135.15,43.03
Ti3V,91.70000000000002,Refractory HEA Elastic Constants (GitHub),180.8,89.1,45.04
HfTa2W,173.71,Refractory HEA Elastic Constants (GitHub),301.3,127.59,66.55
CrMoNb,165.68,Refractory HEA Elastic Constants (GitHub),325.57,159.89,103.74
Hf3Mo,76.68,Refractory HEA Elastic Constants (GitHub),169.78,93.1,48.27
Cr3Re,247.87,Refractory HEA Elastic Constants (GitHub),437.67,189.8,132.76
NbTiV,58.11,Refractory HEA Elastic Constants (GitHub),183.38,125.27,38.03
HfMoTaW,153.02999999999997,Refractory HEA Elastic Constants (GitHub),303.89,150.86,75.02
HfNbTiW,112.49000000000001,Refractory HEA Elastic Constants (GitHub),236.55,124.06,33.49
Nb2WZr,104.72,Refractory HEA Elastic Constants (GitHub),238.77,134.05,23.17
TaVWTiHf,89.53,Refractory HEA Elastic Constants (GitHub),236.93,147.4,62.27
NbTiV2,78.75,Refractory HEA Elastic Constants (GitHub),209.99,131.24,20.7
CrMo2Re,236.48,Refractory HEA Elastic Constants (GitHub),443.52,207.04,116.11
HfNbW2,137.62000000000003,Refractory HEA Elastic Constants (GitHub),296.29,158.67,58.59
NbTaVTiCr,22.19999999999999,Refractory HEA Elastic Constants (GitHub),194.7,172.5,47.23
HfMoTaTi,72.47,Refractory HEA Elastic Constants (GitHub),202.04,129.57,33.87
CrNbW,182.47999999999996,Refractory HEA Elastic Constants (GitHub),351.53,169.05,107.19
NbTaVWHf,82.9,Refractory HEA Elastic Constants (GitHub),245.75,162.85,56.28
NbZr,78.08,Refractory HEA Elastic Constants (GitHub),171.47,93.39,21.98
TaTiV2,66.97,Refractory HEA Elastic Constants (GitHub),206.7,139.73,35.95
Nb3Zr,65.25,Refractory HEA Elastic Constants (GitHub),184.75,119.5,35.05
HfNbW,121.37,Refractory HEA Elastic Constants (GitHub),250.88,129.51,45.94
CrMoReW,250.89000000000001,Refractory HEA Elastic Constants (GitHub),456.85,205.96,131.21
CrNbTiW,101.39999999999998,Refractory HEA Elastic Constants (GitHub),252.98,151.58,56.53
TaV,99.63,Refractory HEA Elastic Constants (GitHub),239.15,139.52,40.34
Ta2TiV,104.85,Refractory HEA Elastic Constants (GitHub),235.26,130.41,40.48
CrNbV,81.85,Refractory HEA Elastic Constants (GitHub),239.78,157.93,54.13
