material_id,alloy_name,elastic_modulus,bulk_modulus,shear_modulus,density,formation_energy,elements,num_elements,nsites,source
mp-19905,Co2Si,276.54554985575527,212.261,107.785,7.735513406677512,-0.331056189166666,"Co,Si",2,12,Materials Project
mp-351,SiNi,230.71411619466943,164.819,91.069,6.060173114343621,-0.470655468750001,"Ni,Si",2,8,Materials Project
mp-622209,Al3Ni,158.74966220881575,112.917,62.713,4.058169020834075,-0.418775703125,"Al,Ni",2,16,Materials Project
mp-7092,TiSi,243.3481737809987,145.819,99.581,4.271720287103741,-0.785364454583332,"Si,Ti",2,8,Materials Project
mp-893,ZrSi,228.57549072797823,141.728,92.826,5.607937422838771,-0.9831583137499991,"Si,Zr",2,8,Materials Project
mp-1069,HfSi2,229.91623817757466,131.995,95.031,8.027909939358391,-0.558635345000001,"Hf,Si",2,6,Materials Project
mp-11322,ZrSi,230.41944436869377,142.355,93.649,5.622895617207469,-0.9840065624999991,"Si,Zr",2,4,Materials Project
mp-11233,ZrAl,173.5599317877292,108.913,70.301,5.002879289170826,-0.529345285000001,"Al,Zr",2,4,Materials Project
mp-1515,ZrSi2,231.06345219222507,126.046,96.722,4.865620366734198,-0.6571695349999991,"Si,Zr",2,6,Materials Project
mp-173,MnAl6,172.11984003823784,110.784,69.344,3.451853780140731,-0.17369762541871903,"Al,Mn",2,14,Materials Project
mp-249,HfAl,175.5229049897907,117.671,70.131,9.117460651674316,-0.45052716500000006,"Al,Hf",2,4,Materials Project
mp-30619,Zr3Co,96.35748399137145,103.802,35.813,6.98200594848403,-0.14822728500000001,"Co,Zr",2,8,Materials Project
mp-31205,Zr3Fe,100.71864962796906,102.072,37.707,6.8543017173591085,-0.10946759500000101,"Fe,Zr",2,8,Materials Project
mp-556,ZrNi,105.12180767001674,139.087,38.253,7.528268777363949,-0.45573371,"Ni,Zr",2,4,Materials Project
mp-570001,Al6Fe,145.14639535976332,105.11,57.151,3.536242098483433,-0.195844072142856,"Al,Fe",2,14,Materials Project
mp-637255,Ti2Sn3,123.6412236086487,87.487,48.891,7.1519218908156,-0.300269175166667,"Sn,Ti",2,20,Materials Project
mp-11809,TiAl2,197.7384924601811,109.309,82.494,3.5903801623495193,-0.46964996222222105,"Al,Ti",2,6,Materials Project
mp-22558,TiSi,109.82962085129546,131.686,40.349,4.310433417983797,-0.545064902083332,"Si,Ti",2,2,Materials Project
mp-16514,Al3Ni5,196.8966886568205,172.818,75.145,6.879616056635388,-0.563250544999998,"Al,Ni",2,8,Materials Project
mp-1046,NbSn2,122.01255224185445,96.844,47.291,8.07205862227532,-0.117157088333333,"Nb,Sn",2,12,Materials Project
mp-2582,TiSi2,265.68863712968056,142.135,111.779,4.118998488639811,-0.510677127222223,"Si,Ti",2,6,Materials Project
mp-20887,VSn2,130.09540174695888,94.914,51.156,7.91634207700037,-0.018103586666666,"Sn,V",2,12,Materials Project
mp-567982,TaSn2,128.36600828070212,103.041,49.663,10.342201390655223,0.012022175888887002,"Sn,Ta",2,12,Materials Project
mp-755328,ZrSn2,133.94735917208175,87.588,53.789,7.966640713050733,-0.43756126,"Sn,Zr",2,6,Materials Project
mp-11531,VNi2,228.30888534920769,229.507,85.56,8.382778066480817,-0.216830600000001,"Ni,V",2,3,Materials Project
mp-570991,TiSi2,256.95297827159925,138.262,107.94,4.066141027380547,-0.35843037888889,"Si,Ti",2,3,Materials Project
mp-568232,Ti6Sn5,143.11286781224428,102.154,56.499,6.797154819304559,-0.36780694,"Sn,Ti",2,22,Materials Project
mp-784630,Ni2Mo,255.72630196512796,240.432,96.666,9.813994891212042,-0.039348750000002,"Mo,Ni",2,3,Materials Project
mp-784631,CrNi2,286.98851200018555,221.367,111.762,8.845811665123044,0.111591173333332,"Cr,Ni",2,3,Materials Project
mp-976,V6Si5,296.3608998354863,185.901,120.052,5.232372721613457,-0.557532025454546,"Si,V",2,22,Materials Project
mp-30180,Al4Mo,183.3551328224496,111.709,74.751,4.181840377895131,-0.288510692166668,"Al,Mo",2,15,Materials Project
mp-30336,Al4W,188.94744667840357,116.786,76.786,6.124799187967377,-0.16068315466666602,"Al,W",2,15,Materials Project
mp-11507,Ni4Mo,242.1097178712926,209.68,92.581,9.69091933392666,-0.034752561999999,"Mo,Ni",2,5,Materials Project
mp-30811,Ni4W,256.3820030298346,226.168,97.776,12.22983837043788,-0.052679011999998006,"Ni,W",2,5,Materials Project
