,﻿Compositions,Phases,Pretty_Formula,Different_Phases,Elements
21,Al2.5CrCuFeNi2,BCC + B2,Al5Cr2Fe2(CuNi2)2,"['BCC', 'B2']","['Al', 'Cr', 'Cu', 'Fe', 'Ni']"
22,Al0.25CoCrFe1.25Ni1.25,FCC,AlCr4Fe5Co4Ni5,['FCC'],"['Al', 'Co', 'Cr', 'Fe', 'Ni']"
23,Al0.75CoCrFeNi1.25,FCC + BCC,Al3Cr4Fe4Co4Ni5,"['FCC', 'BCC']","['Al', 'Co', 'Cr', 'Fe', 'Ni']"
24,CrCu2Fe2MnNi2,FCC + BCC,MnCrFe2(CuNi)2,"['FCC', 'BCC']","['Cr', 'Cu', 'Fe', 'Mn', 'Ni']"
25,Cr2Cu2FeMnNi2,FCC,MnCr2Fe(CuNi)2,['FCC'],"['Cr', 'Cu', 'Fe', 'Mn', 'Ni']"
26,Al0.1CoCrFeNi,FCC,AlCr10Fe10(CoNi)10,['FCC'],"['Al', 'Co', 'Cr', 'Fe', 'Ni']"
27,CoCrFeMo0.1Ni,FCC,Cr10Fe10Co10Ni10Mo,['FCC'],"['Co', 'Cr', 'Fe', 'Mo', 'Ni']"
28,AlCrFeMo0.2Ni,BCC + B2,Al5Cr5Fe5Ni5Mo,"['BCC', 'B2']","['Al', 'Cr', 'Fe', 'Mo', 'Ni']"
29,CoCrFeMo0.2Ni,FCC,Cr5Fe5Co5Ni5Mo,['FCC'],"['Co', 'Cr', 'Fe', 'Mo', 'Ni']"
30,CoCrFeMo0.3Ni,FCC,Cr10Fe10Co10Ni10Mo3,['FCC'],"['Co', 'Cr', 'Fe', 'Mo', 'Ni']"
31,Al0.5CoCrFeNi,FCC + BCC + B2,AlCr2Fe2(CoNi)2,"['FCC', 'BCC', 'B2']","['Al', 'Co', 'Cr', 'Fe', 'Ni']"
32,AlCrFeMo0.5Ni,BCC + B2,Al2Cr2Fe2Ni2Mo,"['BCC', 'B2']","['Al', 'Cr', 'Fe', 'Mo', 'Ni']"
33,Cr2CuFe2Mn2Ni2,FCC + BCC,Mn2Cr2Fe2CuNi2,"['FCC', 'BCC']","['Cr', 'Cu', 'Fe', 'Mn', 'Ni']"
34,CrCu2Fe2Mn2Ni2,FCC,Mn2CrFe2(CuNi)2,['FCC'],"['Cr', 'Cu', 'Fe', 'Mn', 'Ni']"
35,CoCrCu0.5FeNi,FCC,Cr2Fe2Co2CuNi2,['FCC'],"['Co', 'Cr', 'Cu', 'Fe', 'Ni']"
36,CoCrFeMo0.5Ni,FCC + σ,Cr2Fe2Co2Ni2Mo,['FCC'],"['Co', 'Cr', 'Fe', 'Mo', 'Ni']"
37,AlCoCrCuNi,FCC + B2,AlCrCoCuNi,"['FCC', 'B2']","['Al', 'Co', 'Cr', 'Cu', 'Ni']"
38,AlCoCrFeNi,BCC + B2,AlCrFeCoNi,"['BCC', 'B2']","['Al', 'Co', 'Cr', 'Fe', 'Ni']"
39,CoCrCuFeNi,FCC,CrFeCoCuNi,['FCC'],"['Co', 'Cr', 'Cu', 'Fe', 'Ni']"
40,CoCrFeMnNi,FCC,MnCrFeCoNi,['FCC'],"['Co', 'Cr', 'Fe', 'Mn', 'Ni']"
41,CoCuFeMnNi,FCC,MnFeCoCuNi,['FCC'],"['Co', 'Cu', 'Fe', 'Mn', 'Ni']"
42,CrCuFeMoNi,FCC,CrFeCuNiMo,['FCC'],"['Cr', 'Cu', 'Fe', 'Mo', 'Ni']"
43,Al1.5CoCrFeNi,BCC + B2,Al3Cr2Fe2(CoNi)2,"['BCC', 'B2']","['Al', 'Co', 'Cr', 'Fe', 'Ni']"
44,Al0.7CoCrFe2Ni,FCC + BCC + B2,Al7Cr10Fe20(CoNi)10,"['FCC', 'BCC', 'B2']","['Al', 'Co', 'Cr', 'Fe', 'Ni']"
