alloy_name,elastic_modulus,source,data_type,formula,reference_id
Al0.25 Co1 Fe1 Ni1,192.0,MPEA Nano-indentation (calculated),calculated,Al0.25 Co1 Fe1 Ni1,27
Al1 Co1 Fe1 Ni1,162.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Fe1 Ni1,27
Co1 Fe1 Ni1,207.0,MPEA Nano-indentation (calculated),calculated,Co1 Fe1 Ni1,27
Co1 Fe1 Ni1,207.0,MPEA Nano-indentation (calculated),calculated,Co1 Fe1 Ni1,27
Co1 Fe1 Ni1 Si0.25,186.0,MPEA Nano-indentation (calculated),calculated,Co1 Fe1 Ni1 Si0.25,27
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,37
Co1 Cr1 Mn1 Ni1,222.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Mn1 Ni1,37
Co1 Cr1 Ni1,231.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Ni1,37
Co1 Fe1 Mn1 Ni1,204.0,MPEA Nano-indentation (calculated),calculated,Co1 Fe1 Mn1 Ni1,37
Co1 Fe1 Ni1,207.0,MPEA Nano-indentation (calculated),calculated,Co1 Fe1 Ni1,37
Co1 Mn1 Ni1,202.0,MPEA Nano-indentation (calculated),calculated,Co1 Mn1 Ni1,37
Fe1 Mn1 Ni1,203.0,MPEA Nano-indentation (calculated),calculated,Fe1 Mn1 Ni1,37
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,46
Al0.25 Co1 Cr1 Fe1 Ni1,213.0,MPEA Nano-indentation (calculated),calculated,Al0.25 Co1 Cr1 Fe1 Ni1,54
Al0.25 Co1 Cr1 Fe1 Ni1,213.0,MPEA Nano-indentation (calculated),calculated,Al0.25 Co1 Cr1 Fe1 Ni1,54
Al0.375 Co1 Cr1 Fe1 Ni1,207.0,MPEA Nano-indentation (calculated),calculated,Al0.375 Co1 Cr1 Fe1 Ni1,54
Al0.375 Co1 Cr1 Fe1 Ni1,207.0,MPEA Nano-indentation (calculated),calculated,Al0.375 Co1 Cr1 Fe1 Ni1,54
Al0.875 Co1 Cr1 Fe1 Ni1,188.0,MPEA Nano-indentation (calculated),calculated,Al0.875 Co1 Cr1 Fe1 Ni1,54
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,177.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,54
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,177.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,54
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,171.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,54
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,171.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,54
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,160.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,54
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,160.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,54
Al1 Co1 Cr1 Fe1 Ni1,184.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Ni1,54
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,54
Co1 Cr1 Fe1 Ni1,226.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Ni1,54
Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,107.0,MPEA Nano-indentation (experimental),experimental,Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,66
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,133.0,MPEA Nano-indentation (experimental),experimental,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,66
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,94.0,MPEA Nano-indentation (experimental),experimental,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,66
Al1 Co1 Cr1 Fe1 Ni1 Ti1,148.0,MPEA Nano-indentation (experimental),experimental,Al1 Co1 Cr1 Fe1 Ni1 Ti1,66
Co1 Cr1 Fe1 Ni1 Ti1,135.0,MPEA Nano-indentation (experimental),experimental,Co1 Cr1 Fe1 Ni1 Ti1,66
Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,201.0,MPEA Nano-indentation (calculated),calculated,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,1
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,171.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,4
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,152.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,4
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,160.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,4
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,145.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,4
Al1 Co1 Cr1 Fe1 Ni1,184.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Ni1,4
Co1 Cr1 Cu1 Fe1 Ni1,206.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Cu1 Fe1 Ni1,4
Cr1 Cu1 Fe1 Mo1 Ni1,236.0,MPEA Nano-indentation (calculated),calculated,Cr1 Cu1 Fe1 Mo1 Ni1,4
Al1 Co1 Cr1 Fe1 Ni1,184.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Ni1,5
Al1 C0.1 Co1 Cr1 Fe1 Ni1,213.0,MPEA Nano-indentation (experimental),experimental,Al1 C0.1 Co1 Cr1 Fe1 Ni1,6
Al1 C0.2 Co1 Cr1 Fe1 Ni1,151.0,MPEA Nano-indentation (experimental),experimental,Al1 C0.2 Co1 Cr1 Fe1 Ni1,6
Al1 C0.3 Co1 Cr1 Fe1 Ni1,137.0,MPEA Nano-indentation (experimental),experimental,Al1 C0.3 Co1 Cr1 Fe1 Ni1,6
Al1 C0.4 Co1 Cr1 Fe1 Ni1,156.0,MPEA Nano-indentation (experimental),experimental,Al1 C0.4 Co1 Cr1 Fe1 Ni1,6
Al1 C0.5 Co1 Cr1 Fe1 Ni1,181.0,MPEA Nano-indentation (experimental),experimental,Al1 C0.5 Co1 Cr1 Fe1 Ni1,6
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,73.0,MPEA Nano-indentation (experimental),experimental,Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,6
Al1 C1 Co1 Cr1 Fe1 Ni1,75.0,MPEA Nano-indentation (experimental),experimental,Al1 C1 Co1 Cr1 Fe1 Ni1,6
Al1 Co1 Cr1 Fe1 Ni1,184.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Ni1,6
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,188.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,7
Al1 Co1 Cr1 Fe1 Ni1,184.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Ni1,7
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,182.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,8
Al1 Co1 Cr1 Fe1 Ni1,184.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Ni1,8
Al1 Co1 Cr1 Fe1 Ni1,184.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Ni1,12
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,176.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Ni1 Si0.2,12
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,169.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Ni1 Si0.4,12
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,162.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Cr1 Fe1 Ni1 Si0.6,12
Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,192.0,MPEA Nano-indentation (calculated),calculated,Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,13
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,103.0,MPEA Nano-indentation (experimental),experimental,Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,13
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,161.0,MPEA Nano-indentation (experimental),experimental,Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,13
Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,164.0,MPEA Nano-indentation (experimental),experimental,Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,13
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,93.0,MPEA Nano-indentation (experimental),experimental,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,13
Al1 Co1 Cr1 Fe1 Ni1 Ti1,90.0,MPEA Nano-indentation (experimental),experimental,Al1 Co1 Cr1 Fe1 Ni1 Ti1,14
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,178.0,MPEA Nano-indentation (experimental),experimental,Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,14
Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,160.0,MPEA Nano-indentation (experimental),experimental,Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,14
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,129.0,MPEA Nano-indentation (calculated),calculated,Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,15
Al1 Fe1 Ni1 Ti1 V1 Zr1,119.0,MPEA Nano-indentation (calculated),calculated,Al1 Fe1 Ni1 Ti1 V1 Zr1,15
Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,216.0,MPEA Nano-indentation (calculated),calculated,Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,16
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,212.0,MPEA Nano-indentation (calculated),calculated,Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,16
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,205.0,MPEA Nano-indentation (calculated),calculated,Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,16
Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,180.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,16
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,16
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,17
Co1 Cr1 Fe1 Mn1 Ni1,220.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1,17
Co1 Cr1 Fe1 Mn1 Ni1 V0.25,215.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1 V0.25,17
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,210.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,17
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,210.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,17
Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,201.0,MPEA Nano-indentation (calculated),calculated,Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,18
Al0.3 Co1 Cr1 Cu1 Fe1,194.0,MPEA Nano-indentation (calculated),calculated,Al0.3 Co1 Cr1 Cu1 Fe1,20
Al0.5 Co1 Cr1 Cu1 Fe1,187.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Co1 Cr1 Cu1 Fe1,20
Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,139.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,20
Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,136.0,MPEA Nano-indentation (calculated),calculated,Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,20
Co1 Cr1 Cu1 Fe1,208.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Cu1 Fe1,20
Co1 Cr1 Cu0.5 Fe1 Ni1,215.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Cu0.5 Fe1 Ni1,21
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,185.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Cu1 Fe1 Ni1 Ti1,22
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,194.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,22
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,189.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,24
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,185.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,24
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,182.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,24
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,189.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,25
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,186.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,25
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,177.0,MPEA Nano-indentation (calculated),calculated,Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,25
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,175.0,MPEA Nano-indentation (calculated),calculated,Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,25
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,174.0,MPEA Nano-indentation (calculated),calculated,Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,25
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,172.0,MPEA Nano-indentation (calculated),calculated,Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,25
Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,171.0,MPEA Nano-indentation (calculated),calculated,Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,25
Al1 Co1 Cr1 Cu1 Ni1 Ti1,36.0,MPEA Nano-indentation (experimental),experimental,Al1 Co1 Cr1 Cu1 Ni1 Ti1,29
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,37.0,MPEA Nano-indentation (experimental),experimental,Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,29
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,36.0,MPEA Nano-indentation (experimental),experimental,Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,29
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,38.0,MPEA Nano-indentation (experimental),experimental,Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,29
Co1 Cu1 Fe1 Ni1,187.0,MPEA Nano-indentation (calculated),calculated,Co1 Cu1 Fe1 Ni1,30
Co1 Cu1 Fe1 Ni1 Sn0.02,185.0,MPEA Nano-indentation (calculated),calculated,Co1 Cu1 Fe1 Ni1 Sn0.02,30
Co1 Cu1 Fe1 Mn1 Ni1,189.0,MPEA Nano-indentation (calculated),calculated,Co1 Cu1 Fe1 Mn1 Ni1,31
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.03,187.0,MPEA Nano-indentation (calculated),calculated,Co1 Cu1 Fe1 Mn1 Ni1 Sn0.03,31
Co1 Cr1 Cu1 Fe1 Ni1,206.0,MPEA Nano-indentation (calculated),calculated,Co1 Cr1 Cu1 Fe1 Ni1,32
Al0.1 Cr0.5 Cu0.5 Fe0.5 Ni1,197.0,MPEA Nano-indentation (calculated),calculated,Al0.1 Cr0.5 Cu0.5 Fe0.5 Ni1,33
Al0.2 Cr0.5 Cu0.5 Fe0.5 Ni1,190.0,MPEA Nano-indentation (calculated),calculated,Al0.2 Cr0.5 Cu0.5 Fe0.5 Ni1,33
Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1,185.0,MPEA Nano-indentation (calculated),calculated,Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1,33
Al0.4 Cr0.5 Cu0.5 Fe0.5 Ni1,179.0,MPEA Nano-indentation (calculated),calculated,Al0.4 Cr0.5 Cu0.5 Fe0.5 Ni1,33
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,145.0,MPEA Nano-indentation (experimental),experimental,Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,35
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,145.0,MPEA Nano-indentation (experimental),experimental,Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,35
Al1 Cu1 Fe1 Ni1 Ti1,146.0,MPEA Nano-indentation (experimental),experimental,Al1 Cu1 Fe1 Ni1 Ti1,35
Al1 Cu1 Ni1 Ti1,108.0,MPEA Nano-indentation (experimental),experimental,Al1 Cu1 Ni1 Ti1,35
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,107.0,MPEA Nano-indentation (calculated),calculated,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,39
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,107.0,MPEA Nano-indentation (calculated),calculated,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,39
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,107.0,MPEA Nano-indentation (calculated),calculated,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,39
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,110.0,MPEA Nano-indentation (calculated),calculated,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,39
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,110.0,MPEA Nano-indentation (calculated),calculated,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,39
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,110.0,MPEA Nano-indentation (calculated),calculated,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,39
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,39
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,39
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,107.0,MPEA Nano-indentation (calculated),calculated,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,39
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,109.0,MPEA Nano-indentation (calculated),calculated,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,39
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,109.0,MPEA Nano-indentation (calculated),calculated,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,39
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,109.0,MPEA Nano-indentation (calculated),calculated,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,39
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,105.0,MPEA Nano-indentation (calculated),calculated,Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,39
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,105.0,MPEA Nano-indentation (calculated),calculated,Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,39
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,105.0,MPEA Nano-indentation (calculated),calculated,Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,39
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,63.0,MPEA Nano-indentation (experimental),experimental,Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,40
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,97.0,MPEA Nano-indentation (experimental),experimental,Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,40
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,102.0,MPEA Nano-indentation (experimental),experimental,Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,40
Al1 Hf1 Nb1 Ta1 Ti1 Zr1,103.0,MPEA Nano-indentation (experimental),experimental,Al1 Hf1 Nb1 Ta1 Ti1 Zr1,40
Hf1 Nb1 Ta1 Ti1 Zr1,55.0,MPEA Nano-indentation (experimental),experimental,Hf1 Nb1 Ta1 Ti1 Zr1,40
Al0.25 Mo1 Nb1 Ti1 V1,161.0,MPEA Nano-indentation (calculated),calculated,Al0.25 Mo1 Nb1 Ti1 V1,41
Al0.5 Mo1 Nb1 Ti1 V1,156.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Mo1 Nb1 Ti1 V1,41
Al0.75 Mo1 Nb1 Ti1 V1,151.0,MPEA Nano-indentation (calculated),calculated,Al0.75 Mo1 Nb1 Ti1 V1,41
Al1 Mo1 Nb1 Ti1 V1,147.0,MPEA Nano-indentation (calculated),calculated,Al1 Mo1 Nb1 Ti1 V1,41
Mo1 Nb1 Ti1 V1,167.0,MPEA Nano-indentation (calculated),calculated,Mo1 Nb1 Ti1 V1,41
Al0.25 Nb1 Ta1 Ti1 V1,130.0,MPEA Nano-indentation (calculated),calculated,Al0.25 Nb1 Ta1 Ti1 V1,42
Al0.5 Nb1 Ta1 Ti1 V1,127.0,MPEA Nano-indentation (calculated),calculated,Al0.5 Nb1 Ta1 Ti1 V1,42
Al1 Nb1 Ta1 Ti1 V1,122.0,MPEA Nano-indentation (calculated),calculated,Al1 Nb1 Ta1 Ti1 V1,42
Nb1 Ta1 Ti1 V1,134.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ta1 Ti1 V1,42
Al1 Nb1 Ti1 V1,104.0,MPEA Nano-indentation (calculated),calculated,Al1 Nb1 Ti1 V1,43
Al1 Nb1 Ti1 V1,104.0,MPEA Nano-indentation (calculated),calculated,Al1 Nb1 Ti1 V1,43
Al1 Nb1 Ti1 V1,104.0,MPEA Nano-indentation (calculated),calculated,Al1 Nb1 Ti1 V1,43
Al1 Nb1 Ti1 V1,104.0,MPEA Nano-indentation (calculated),calculated,Al1 Nb1 Ti1 V1,43
Nb0.5 Ti0.5 V1 Zr0.5,105.0,MPEA Nano-indentation (calculated),calculated,Nb0.5 Ti0.5 V1 Zr0.5,45
Nb0.5 Ti0.5 V1 Zr0.5,105.0,MPEA Nano-indentation (calculated),calculated,Nb0.5 Ti0.5 V1 Zr0.5,45
Nb0.5 Ti0.5 V1 Zr0.5,105.0,MPEA Nano-indentation (calculated),calculated,Nb0.5 Ti0.5 V1 Zr0.5,45
Nb0.5 Ti0.5 V1 Zr0.5,105.0,MPEA Nano-indentation (calculated),calculated,Nb0.5 Ti0.5 V1 Zr0.5,45
Nb1 Ti1 V1 Zr1,100.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ti1 V1 Zr1,45
Nb1 Ti1 V1 Zr1,100.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ti1 V1 Zr1,45
Nb1 Ti1 V1 Zr1,100.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ti1 V1 Zr1,45
Nb1 Ti1 V1 Zr1,100.0,MPEA Nano-indentation (calculated),calculated,Nb1 Ti1 V1 Zr1,45
Hf0.5 Mo0.5 Nb1 Ti1 Zr1,115.0,MPEA Nano-indentation (calculated),calculated,Hf0.5 Mo0.5 Nb1 Ti1 Zr1,47
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,96.0,MPEA Nano-indentation (experimental),experimental,Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,48
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,102.0,MPEA Nano-indentation (experimental),experimental,Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,48
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,109.0,MPEA Nano-indentation (experimental),experimental,Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,48
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,115.0,MPEA Nano-indentation (experimental),experimental,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,48
Hf1 Nb1 Ta1 Ti1 Zr1,85.0,MPEA Nano-indentation (experimental),experimental,Hf1 Nb1 Ta1 Ti1 Zr1,48
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,137.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,49
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,137.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,49
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,137.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,49
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,137.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,49
Hf1 Mo1 Ta1 Ti1 Zr1,143.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Ta1 Ti1 Zr1,49
Hf1 Mo1 Ta1 Ti1 Zr1,143.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Ta1 Ti1 Zr1,49
Hf1 Mo1 Ta1 Ti1 Zr1,143.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Ta1 Ti1 Zr1,49
Hf1 Mo1 Ta1 Ti1 Zr1,143.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Ta1 Ti1 Zr1,49
Hf1 Mo1 Nb1 Ti1 Zr1,128.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ti1 Zr1,50
Hf1 Mo1 Nb1 Ti1 Zr1,128.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ti1 Zr1,50
Hf1 Mo1 Nb1 Ti1 Zr1,128.0,MPEA Nano-indentation (calculated),calculated,Hf1 Mo1 Nb1 Ti1 Zr1,50
