alloy_name,elastic_modulus,source,mixing_entropy,mixing_enthalpy,valence_electron,diff_in_atomic_radii,diff_electronegativity,omega,lambda,phases,density,hardness,yield_strength,mean_atomic_radius,std_atomic_radius,max_atomic_radius,min_atomic_radius,delta_r,mean_electronegativity,std_electronegativity,delta_chi,vec,mixing_entropy.1,num_elements,comp_Ti,comp_Zr,comp_Hf,comp_Nb,comp_Ta,comp_V,comp_Cr,comp_Mo,comp_W,comp_Fe,comp_Co,comp_Ni,comp_Cu,comp_Al,comp_Mn,comp_Si,comp_Sn
AlCCoCrFeNi,75.0,Gorsse,,,,,,,,BCC + Im,6.9,,1251.0,25.840000000000003,1.4051334456200235,28.6,24.8,3.8000000000000007,0.3556,0.0241130669969624,0.0599999999999999,7.200000000000001,13.380866803977112,5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0
Al0.5CoCrCuFeNiTi0.2,76.5,DOE/OSTI,15.4462064517097,-7.776612668544,8.12288,4.93143139157473,0.118751100264889,3.38002180744876,0.6351493302584891,,,,,18.343358395989977,6.324220612712013,22.45614035087719,5.157894736842105,17.298245614035086,0.25796992481203,0.1049445410682267,0.2810526315789473,8.12280701754386,15.445250898743796,7,0.0350877192982456,0.0,0.0,0.0,0.0,0.0,0.175438596491228,0.0,0.0,0.175438596491228,0.175438596491228,0.175438596491228,0.175438596491228,0.087719298245614,0.0,0.0,0.0
CoCrCuFeNiTi,77.0,Gorsse,,,,,,,,FCC,7.4,,1272.0,21.61111111111111,1.3146843962443595,24.5,20.666666666666664,3.833333333333336,0.2977777777777777,0.0231273981072207,0.0616666666666666,7.999999999999999,14.896688227162048,6,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0
CuNi2FeCrAl0.5,78.1,DOE/OSTI,12.6023399855834,-5.80190116024959,8.45463,4.35937828916731,0.134460104255364,3.6616156540720697,0.663135194656304,,,,,25.50909090909091,10.551659616437457,45.09090909090909,13.0,32.09090909090909,0.3641818181818182,0.179896756433257,0.5481818181818182,8.454545454545457,12.60159591364062,5,0.0,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,0.0,0.1818181818181818,0.0,0.3636363636363636,0.1818181818181818,0.0909090909090909,0.0,0.0,0.0
FeNiCrCuMo,81.9,DOE/OSTI,13.3816113591719,4.61232,8.2,3.58022880885233,0.161170716943246,5.78675080282412,1.04396718290286,,,,,25.8,1.0430723848324237,27.8,24.8,3.0,0.3783999999999999,0.0322341433886492,0.1,8.200000000000001,13.380866803977112,5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0
"Ti, Nb, Ta, Cr, Co",82.0,Latest Research,,,,,,,,,,,,27.68,1.9538679586911711,29.4,25.0,4.400000000000002,0.3272,0.0267013108292458,0.0759999999999999,5.8,13.380866803977112,5,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
"Ti 40%, Zr 25%, Nb 25%, Ta 5%, Mo 5%",86.0,Latest Research,,,,,,,,,,,,29.520000000000003,1.3658696863171091,32.0,27.8,4.199999999999999,0.3252,0.0563361340526664,0.166,4.800000000000001,13.380866803977112,5,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TiZr,87.67,DOE/OSTI,5.76314632164397,-0.222,4.0,4.60032626427406,0.104999999999999,52.8158612224534,0.272321780863366,,,,,76.75,3.25,80.0,73.5,6.5,0.7175,0.0524999999999999,0.1049999999999999,4.0,5.762825659175385,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlCoCr1.6FeNi4,88.46,DOE/OSTI,11.8026816042074,-14.7027721514688,8.0931,4.69030758566714,0.118621289110756,1.3919933565215,0.536510274045074,,,,,25.460465116279067,16.46009251962035,57.67441860465116,14.534883720930232,43.13953488372093,0.3631627906976744,0.2658061444660587,0.7011627906976744,8.093023255813954,11.801985661261778,5,0.0,0.0,0.0,0.0,0.0,0.0,0.186046511627907,0.0,0.0,0.1162790697674418,0.1162790697674418,0.4651162790697674,0.0,0.1162790697674418,0.0,0.0,0.0
AlCoCrFeNiTi,90.0,Gorsse,,,,,,,,BCC,6.2,,1860.0,22.02777777777777,1.5378456150740458,24.5,20.666666666666664,3.833333333333336,0.2897222222222221,0.0235587655045582,0.0616666666666666,6.666666666666667,14.896688227162048,6,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0
Al0.25NbTaTiV,92.0,Gorsse,,,,,,,,BCC,8.8,,1330.0,28.647058823529413,10.180244115060036,34.588235294117645,8.411764705882353,26.17647058823529,0.314,0.1101646455762832,0.2888235294117646,4.647058823529412,12.70766391344736,5,0.2352941176470588,0.0,0.0,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.0
HfNbTiZr,92.0,Gorsse,,,,,,,,BCC,8.4,,879.0,38.25,1.6298006013006625,40.0,36.5,3.5,0.360625,0.0324217808733573,0.075,4.25,11.52565131835077,4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoCrCuFeNiTi0.5,93.0,Gorsse,,,,,,,,FCC,7.8,,700.0,21.348484848484848,3.5807938339389764,23.272727272727277,13.363636363636363,9.90909090909091,0.3015151515151515,0.073835620172409,0.2072727272727272,8.363636363636363,14.697168880613486,6,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,0.0,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.0,0.0,0.0,0.0
Al2CoCrFeNiTi,94.0,Gorsse,,,,,,,,BCC,5.6,643.0,,22.28571428571429,8.380817098475257,40.85714285714285,17.71428571428571,23.142857142857142,0.2866666666666667,0.079683330167457,0.24,6.142857142857142,14.53177536233862,6,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.2857142857142857,0.0,0.0,0.0
