alloy_name,elastic_modulus,composition,phases,yield_strength,ultimate_strength,hardness,elongation,density,mixing_entropy,mixing_enthalpy,valence_electron,year,notes,source
LaCoGe3,135.84186,,,,,,,7.454803187751436,,,,,,Materials Project
ScGa5Fe,135.86028,,,,,,,6.704812783239029,,,,,,Materials Project
NbAlNi2,135.86766,,,,,,,7.440041791369646,,,,,,Materials Project
Nd(NiAs)2,135.9749,,,,,,,8.373961127446604,,,,,,Materials Project
Al0.6CrFeMnNi,136.0,,,,,,,,13.2422619343463,-14.542946176582,7.13038,,,DOE/OSTI
CeGa3Pd2,136.01083,,,,,,,8.718927657698686,,,,,,Materials Project
Mg2CrN3,136.16226,,,,,,,3.351608068567136,,,,,,Materials Project
ScCdRh2,136.23833,,,,,,,9.184089331997871,,,,,,Materials Project
ErCdRh2,136.24861,,,,,,,11.487987661626,,,,,,Materials Project
Sr2CuO3,136.30353,,,,,,,5.465340310439675,,,,,,Materials Project
TbGa5Co,136.33804,,,,,,,7.954612111233499,,,,,,Materials Project
CrMoNbTa,136.49,,,,,,,,,,,,,Refractory HEA Elastic Constants
ScCuSn,136.52364,,,,,,,6.567402923261273,,,,,,Materials Project
VFeSe,136.52855,,,,,,,7.123873725389092,,,,,,Materials Project
TaTiW,136.55,,,,,,,,,,,,,Refractory HEA Elastic Constants
LaSi2Ag,136.58183,,,,,,,6.155448156995245,,,,,,Materials Project
CuNiCoFeCrAl0.5V1.8,136.6,,,,,,,,15.7179205409973,-9.3709452218228,7.46592999999999,,,DOE/OSTI
TiInNi2,136.62259,,,,,,,8.090536306612785,,,,,,Materials Project
SmNiAs,136.6356,,,,,,,8.237874492975704,,,,,,Materials Project
TbGe2Pt,136.7299,,,,,,,10.723993136472286,,,,,,Materials Project
Th(SiAu)2,136.75887,,,,,,,11.82352347176249,,,,,,Materials Project
Tm2MgGe2,136.77689,,,,,,,7.912424295991805,,,,,,Materials Project
CrTiW2,136.86,,,,,,,,,,,,,Refractory HEA Elastic Constants
HfGa4Co,136.91449,,,,,,,7.975992533075777,,,,,,Materials Project
AlC0.3CoCrFeNi,137.0,,BCC + Im,867.0,2178.0,,8,6.8,,,,,,Gorsse
Sm3InN,137.05069,,,,,,,7.973913669621816,,,,,,Materials Project
Nb2TiW,137.18,,,,,,,,,,,,,Refractory HEA Elastic Constants
CuNiCoFeMnSn0.08,137.2,,,,,,,,13.8443409295655,1.10904982914,8.92124999999999,,,DOE/OSTI
CrFeTe,137.20699,,,,,,,7.756716457396785,,,,,,Materials Project
Sr2YReO6,137.21608,,,,,,,6.219272029991636,,,,,,Materials Project
