alloy_name,elastic_modulus,source,mixing_entropy,mixing_enthalpy,valence_electron,diff_in_atomic_radii,diff_electronegativity,omega,lambda,phases,density,hardness,yield_strength
FeMnNi,182.0,DOE/OSTI,9.13436260647717,-4.137695022636,8.33325,3.92852306290571,0.154343720312813,3.72197111312371,0.591860877436693,,,,
CoMnNi,190.0,DOE/OSTI,9.13436260647717,-5.97765822282,8.66658,3.73466394612726,0.16309424882564,2.55442118388561,0.654900300420314,,,,
CoFeNi,161.0,DOE/OSTI,9.13436260647717,-1.0128686312124,8.99991,0.3276454648614,0.0329981514633773,15.9532296351619,85.0883154613009,,,,
CoCrNi,226.0,DOE/OSTI,9.13436260647717,-5.0234550849468,8.33325,0.16455908117517,0.111454466038826,3.4402698814012203,337.314134786592,,,,
Co4Ni4Cr,223.0,DOE/OSTI,8.02315106397808,-2.3618293059152,9.11102,0.20528790082676301,0.112243661043483,6.100963849937459,190.378658253637,,,,
Co19Ni19Cr1,219.0,DOE/OSTI,6.60682234155718,-0.7608283044608,9.41026,0.22647890190757602,0.122117127299326,15.2753331079187,128.8063065896,,,,
CoFeMnNi,186.0,DOE/OSTI,11.5262926432879,-3.80525,8.5,3.5512495217343503,0.142894191624432,5.16907388365308,0.913960160556606,,,,
CoCrFeNi ,210.0,DOE/OSTI,11.5262926432879,-3.701,8.25,0.30211588476677803,0.0966953980290685,5.82932673738833,126.2823110053,,,,
CoCr4Ni4,240.0,DOE/OSTI,8.02315106397808,-6.1703457270368,8.11103,0.143570785093206,0.121573430942418,2.51384135707947,389.235836901607,,,,
CoCrFeMnNi,202.0,DOE/OSTI,13.3816113591719,-4.09696,8.0,3.269463576718,0.138361844451423,5.883132464105199,1.25185897005807,,,,
CoCrFeNi2.1Nb0,27.0,DOE/OSTI,11.0061902267445,-3.69140220549119,8.62744,0.268735802503741,0.0932931150437158,5.48832110599641,152.400346985629,,,,
CoCrFeNi2.1Nb0.2,47.8,DOE/OSTI,11.92689583222,-6.51621547702239,8.49063999999999,2.78559094295328,0.102258144780052,3.43203301689594,1.53706680244111,,,,
CoCrFeNi2.1Nb0.4,53.0,DOE/OSTI,12.3728386882638,-8.9274214764864,8.36371,3.7687476613703197,0.109252928746169,2.64283364912327,0.871114476045088,,,,
Fe20Co23Ni17Cr20Mn20,401.0,DOE/OSTI,13.3440546926373,-3.94948719999999,7.97,3.2634292019683,0.137581357748788,6.08973341602666,1.25296639303673,,,,
Fe20Co27Ni13Cr20Mn20,401.0,DOE/OSTI,13.1735297858071,-3.7504152,7.93,3.2553301166795396,0.136725381696303,6.33664446901669,1.24311722882593,,,,
Fe20Co30Ni10Cr20Mn20,401.0,DOE/OSTI,12.946558646037,-3.59928,7.9,3.24921565028697,0.136224080103335,6.49327856344216,1.22630153010715,,,,
CoCrFeNiV,233.7,DOE/OSTI,13.3816113591719,-8.85664,7.6,2.21355874657846,0.115134703716994,2.92210549019023,2.73102897456804,,,,
CoCrFeNiVAl0.5,209.0,DOE/OSTI,14.698050513986,-15.8988303685319,7.18188999999999,4.42849600229513,0.12041311616869,1.70386156517886,0.749457865226369,,,,
CoCrFeNiVAl1,330.0,DOE/OSTI,14.897648787046,-20.5687116126716,6.83347,5.3344089855178005,0.123109133156994,1.28001803819107,0.523534266082554,,,,
CoCrFeNiVAl1.5,330.0,DOE/OSTI,14.7851967235,-23.668429105166,6.53860999999999,5.9454985282609,0.124302799740148,1.0639216504639302,0.418264066498749,,,,
CoCrFeNiVAl2,466.0,DOE/OSTI,14.5326873029392,-25.7037968713703,6.28580999999999,6.389872941015421,0.124556990966063,0.931853130707913,0.35592745063583203,,,,
TaNbHfZrTi,49.88,DOE/OSTI,13.3816113591719,2.63808,4.4,4.99441745961379,0.118253963992755,12.797870215911,0.5364617132909539,,,,
TiTa,111.35,DOE/OSTI,5.76314632164397,1.38,4.5,1.1065006915629199,0.02,10.922832756710001,4.7071308024479,,,,
MoZr,170.18,DOE/OSTI,5.76314632164397,-5.9,5.0,8.09170600134862,0.415,2.45373280677452,0.0880196132679309,,,,
